,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
353040,MANHATTAN,HARRASSMENT 2,40.78780079,-73.94952253,10029,VIOLATION,2022-09-01
353042,BROOKLYN,THEFT-FRAUD,40.642761,-74.010965,11220,FELONY,2022-09-02
353046,BRONX,HARRASSMENT 2,40.85173,-73.887619,10457,VIOLATION,2022-09-02
353049,BRONX,HARRASSMENT 2,40.824332,-73.910363,10456,VIOLATION,2022-09-03
353053,BRONX,HARRASSMENT 2,40.85713645,-73.84379333,10469,VIOLATION,2022-09-01
353056,QUEENS,PETIT LARCENY,40.708572,-73.799763,11432,MISDEMEANOR,2022-09-02
353057,STATEN ISLAND,DANGEROUS DRUGS,40.639681,-74.077439,10301,MISDEMEANOR,2022-09-02
353058,BRONX,ROBBERY,40.855563,-73.867658,10462,FELONY,2022-09-03
353063,QUEENS,BURGLARY,40.759087,-73.737372,11362,FELONY,2022-09-01
353065,BRONX,ASSAULT 3 & RELATED OFFENSES,40.870899,-73.87722,10470,MISDEMEANOR,2022-09-01
353066,MANHATTAN,GRAND LARCENY,40.73216477,-73.99429905,10003,FELONY,2022-09-04
353071,BROOKLYN,THEFT-FRAUD,40.674082,-74.003218,11231,FELONY,2022-09-01
353073,QUEENS,PETIT LARCENY,40.575273,-73.846569,11694,MISDEMEANOR,2022-09-01
353075,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,40.807071,-73.947857,10027,MISDEMEANOR,2022-09-01
353084,BRONX,GRAND LARCENY,40.879932,-73.910192,10463,FELONY,2022-09-03
353085,BROOKLYN,OFF. AGNST PUB ORD SENSBLTY &,40.704886,-73.926867,11237,MISDEMEANOR,2022-09-01
353086,BROOKLYN,DANGEROUS DRUGS,40.70839062,-73.93995943,11206,FELONY,2022-09-02
353088,BRONX,CRIMINAL MISCHIEF & RELATED OF,40.823348,-73.899463,10459,MISDEMEANOR,2022-09-01
353089,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,40.644202,-73.902644,11236,MISDEMEANOR,2022-09-03
353090,BROOKLYN,HARRASSMENT 2,40.651202,-73.92837,11203,VIOLATION,2022-09-01
353091,STATEN ISLAND,HARRASSMENT 2,40.612606,-74.083121,10304,VIOLATION,2022-09-03
353093,BRONX,HARRASSMENT 2,40.832477,-73.904233,10456,VIOLATION,2022-09-01
353096,MANHATTAN,FELONY ASSAULT,40.8512131676868,-73.9352160519866,10033,FELONY,2022-09-01
353104,BRONX,HARRASSMENT 2,40.828621,-73.878703,10472,VIOLATION,2022-09-01
353106,BROOKLYN,PETIT LARCENY,40.717734,-73.952226,11211,MISDEMEANOR,2022-09-02
353107,QUEENS,HARRASSMENT 2,40.693393,-73.753991,11412,VIOLATION,2022-09-03
